meta_id,calendario_sk,periodo_operativo_sort,mes_operativo_dt,contrato_sk,equipo_sk,tipo_maquina,meta_metraje_m,proyectado_m
166,20250301,202503,2025-03-01,16,75,MINA,1000.0,0.0
167,20250301,202503,2025-03-01,16,77,MINA,1000.0,0.0
168,20250301,202503,2025-03-01,12,54,SUPERFICIE,800.0,0.0
169,20250301,202503,2025-03-01,12,53,SUPERFICIE,800.0,0.0
170,20250301,202503,2025-03-01,12,60,MINA,800.0,0.0
171,20250301,202503,2025-03-01,12,62,MINA,800.0,0.0
172,20250301,202503,2025-03-01,17,82,MINA,850.0,0.0
173,20250301,202503,2025-03-01,17,80,MINA,850.0,0.0
174,20250301,202503,2025-03-01,17,81,MINA,850.0,0.0
175,20250301,202503,2025-03-01,7,31,MINA,900.0,0.0
176,20250301,202503,2025-03-01,7,33,MINA,900.0,0.0
177,20250301,202503,2025-03-01,7,26,MINA,900.0,0.0
178,20250301,202503,2025-03-01,7,25,MINA,900.0,0.0
179,20250301,202503,2025-03-01,2,5,SUPERFICIE,900.0,0.0
180,20250301,202503,2025-03-01,2,8,MINA,900.0,0.0
181,20250301,202503,2025-03-01,2,9,MINA,900.0,0.0
182,20250301,202503,2025-03-01,2,4,SUPERFICIE,900.0,0.0
183,20250301,202503,2025-03-01,10,51,MINA,1600.0,0.0
184,20250301,202503,2025-03-01,10,48,SUPERFICIE,750.0,0.0
185,20250301,202503,2025-03-01,10,45,MINA,900.0,0.0
186,20250301,202503,2025-03-01,14,68,MINA,1150.0,0.0
187,20250301,202503,2025-03-01,14,69,MINA,1150.0,0.0
188,20250301,202503,2025-03-01,14,67,MINA,1150.0,0.0
189,20250301,202503,2025-03-01,15,73,MINA,900.0,0.0
190,20250301,202503,2025-03-01,15,72,MINA,835.0,0.0
191,20250301,202503,2025-03-01,15,71,MINA,900.0,0.0
192,20250301,202503,2025-03-01,15,70,MINA,900.0,0.0
193,20250301,202503,2025-03-01,20,89,MINA,1150.0,0.0
194,20250301,202503,2025-03-01,20,90,MINA,1150.0,0.0
195,20250301,202503,2025-03-01,20,87,MINA,1150.0,0.0
196,20250501,202505,2025-05-01,4,18,MINA,750.0,0.0
197,20250501,202505,2025-05-01,4,19,MINA,750.0,0.0
198,20250501,202505,2025-05-01,4,17,MINA,750.0,0.0
199,20250501,202505,2025-05-01,4,15,MINA,750.0,0.0
200,20250501,202505,2025-05-01,4,21,MINA,750.0,0.0
