equipo_sk,equipo_cd,codigo_sap,modelo_fabricante,fabricante,tipo_servicio,tipo_energia,horas_dia_planeadas,contrato_sk_asignado,estado_operativo
19,XRD50USS-004,SAP-XRD50USS-004,XRD50USS-004,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
20,XRD90U-0016,SAP-XRD90U-0016,XRD90U-0016,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
21,XRD90U-005,SAP-XRD90U-005,XRD90U-005,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
22,XRD90U-013,SAP-XRD90U-013,XRD90U-013,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
23,XRD150U-002,SAP-XRD150U-002,XRD150U-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,5,OPERATIVO
24,XRD150U-002,SAP-XRD150U-002,XRD150U-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,6,OPERATIVO
25,LM110U-001,SAP-LM110U-001,LM110U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
26,LM90U-001,SAP-LM90U-001,LM90U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
27,XRD120U-001,SAP-XRD120U-001,XRD120U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
28,XRD150USS,SAP-XRD150USS,XRD150USS,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
29,XRD150USS-005,SAP-XRD150USS-005,XRD150USS-005,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
30,XRD250U,SAP-XRD250U,XRD250U,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
31,XRD80USS-007,SAP-XRD80USS-007,XRD80USS-007,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
32,XRD90U-021,SAP-XRD90U-021,XRD90U-021,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
33,XRD90USS-003,SAP-XRD90USS-003,XRD90USS-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,7,OPERATIVO
34,XLM75UFDR-003,SAP-XLM75UFDR-003,XLM75UFDR-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
35,XRD125UFDR-002,SAP-XRD125UFDR-002,XRD125UFDR-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
36,XRD125USS-001,SAP-XRD125USS-001,XRD125USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
