hora_evento_id,calendario_sk,contrato_sk,equipo_sk,actividad_sk,turno_guardia,horas_reportadas,es_cobrable,categoria_disponibilidad,id_clave_unica
2256,20260827,15,73,48,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-A
2257,20260827,15,73,51,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-A
2258,20260827,15,73,55,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-A
2259,20260827,15,73,58,A,2.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-A
2260,20260827,15,73,59,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-A
2261,20260827,15,73,1,B,6.0,True,Tiempo Efectivo - Operativo,20260827-RAURA-XRD90USS-004-B
2262,20260827,15,73,5,B,0.5,False,Mantenimiento,20260827-RAURA-XRD90USS-004-B
2263,20260827,15,73,8,B,0.5,True,Stand By Operativo,20260827-RAURA-XRD90USS-004-B
2264,20260827,15,73,47,B,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-B
2265,20260827,15,73,48,B,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-B
2266,20260827,15,73,55,B,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-B
2267,20260827,15,73,58,B,2.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-B
2268,20260827,15,73,59,B,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-B
2269,20260828,15,73,1,A,5.0,True,Tiempo Efectivo - Operativo,20260828-RAURA-XRD90USS-004-A
2270,20260828,15,73,5,A,0.5,False,Mantenimiento,20260828-RAURA-XRD90USS-004-A
2271,20260828,15,73,8,A,0.5,True,Stand By Operativo,20260828-RAURA-XRD90USS-004-A
2272,20260828,15,73,47,A,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-A
2273,20260828,15,73,48,A,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-A
2274,20260828,15,73,55,A,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-A
2275,20260828,15,73,58,A,2.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-A
2276,20260828,15,73,59,A,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-A
2277,20260828,15,73,1,B,2.0,True,Tiempo Efectivo - Operativo,20260828-RAURA-XRD90USS-004-B
2278,20260828,15,73,5,B,0.5,False,Mantenimiento,20260828-RAURA-XRD90USS-004-B
2279,20260828,15,73,9,B,0.5,True,Stand By Operativo,20260828-RAURA-XRD90USS-004-B
2280,20260828,15,73,16,B,0.5,True,Stand By Operativo,20260828-RAURA-XRD90USS-004-B
2281,20260828,15,73,21,B,1.0,True,Stand By Operativo,20260828-RAURA-XRD90USS-004-B
2282,20260828,15,73,47,B,0.5,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-B
2283,20260828,15,73,48,B,0.5,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-B
2284,20260828,15,73,52,B,0.5,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-B
2285,20260828,15,73,55,B,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-B
2286,20260828,15,73,57,B,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-B
2287,20260828,15,73,58,B,2.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-B
2288,20260828,15,73,59,B,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-004-B
2289,20260828,15,73,69,B,1.0,True,Stand By Cliente,20260828-RAURA-XRD90USS-004-B
2290,20260829,15,73,1,A,5.0,True,Tiempo Efectivo - Operativo,20260829-RAURA-XRD90USS-004-A
2291,20260829,15,73,6,A,1.0,False,Mantenimiento,20260829-RAURA-XRD90USS-004-A
2292,20260829,15,73,8,A,0.5,True,Stand By Operativo,20260829-RAURA-XRD90USS-004-A
2293,20260829,15,73,47,A,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-A
2294,20260829,15,73,48,A,0.5,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-A
2295,20260829,15,73,55,A,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-A
2296,20260829,15,73,58,A,2.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-A
2297,20260829,15,73,59,A,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-A
2298,20260829,15,73,1,B,5.5,True,Tiempo Efectivo - Operativo,20260829-RAURA-XRD90USS-004-B
2299,20260829,15,73,5,B,0.5,False,Mantenimiento,20260829-RAURA-XRD90USS-004-B
2300,20260829,15,73,7,B,0.5,True,Stand By Operativo,20260829-RAURA-XRD90USS-004-B
2301,20260829,15,73,8,B,0.5,True,Stand By Operativo,20260829-RAURA-XRD90USS-004-B
2302,20260829,15,73,47,B,0.5,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-B
2303,20260829,15,73,48,B,0.5,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-B
2304,20260829,15,73,55,B,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-B
2305,20260829,15,73,58,B,2.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-B
2306,20260829,15,73,59,B,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-004-B
2307,20260830,15,73,1,A,6.0,True,Tiempo Efectivo - Operativo,20260830-RAURA-XRD90USS-004-A
2308,20260830,15,73,5,A,0.5,False,Mantenimiento,20260830-RAURA-XRD90USS-004-A
2309,20260830,15,73,47,A,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-A
2310,20260830,15,73,48,A,0.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-A
2311,20260830,15,73,55,A,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-A
2312,20260830,15,73,58,A,2.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-A
2313,20260830,15,73,59,A,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-A
2314,20260830,15,73,1,B,4.0,True,Tiempo Efectivo - Operativo,20260830-RAURA-XRD90USS-004-B
2315,20260830,15,73,5,B,0.5,False,Mantenimiento,20260830-RAURA-XRD90USS-004-B
2316,20260830,15,73,9,B,0.5,True,Stand By Operativo,20260830-RAURA-XRD90USS-004-B
2317,20260830,15,73,16,B,0.5,True,Stand By Operativo,20260830-RAURA-XRD90USS-004-B
2318,20260830,15,73,47,B,0.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-B
2319,20260830,15,73,48,B,0.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-B
2320,20260830,15,73,52,B,1.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-B
2321,20260830,15,73,55,B,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-B
2322,20260830,15,73,58,B,2.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-B
