actividad_sk,nombre_actividad,bloque_funcional,categoria_disponibilidad,es_cobrable_estandar,impacta_disp_mecanica
36,Instalación de inclinómetro,Ensayos Geotécnicos,Stand By Operativo,True,False
37,Instalación de piezómetro multinivel,Ensayos Geotécnicos,Stand By Operativo,True,False
38,"Instrumentación, toma de presión de agua y caudal",Ensayos Geotécnicos,Stand By Operativo,True,False
39,Prueba de lectura de inclinómetro,Ensayos Geotécnicos,Stand By Operativo,True,False
40,Toma de lecturas cuerda vibrante,Ensayos Geotécnicos,Stand By Operativo,True,False
41,SBO1,Ensayos Geotécnicos,Stand By Operativo,True,False
42,SBO2,Ensayos Geotécnicos,Stand By Operativo,True,False
43,SBO3,Ensayos Geotécnicos,Stand By Operativo,True,False
44,SBO4,Ensayos Geotécnicos,Stand By Operativo,True,False
45,SBO5,Ensayos Geotécnicos,Stand By Operativo,True,False
46,Desate de rocas,Soporte y Seguridad,Stand By Inoperativo,False,False
47,Orden y limpieza,Soporte y Seguridad,Stand By Inoperativo,False,False
48,Recojo de lama,Soporte y Seguridad,Stand By Inoperativo,False,False
49,Poza de sedimentación,Soporte y Seguridad,Stand By Inoperativo,False,False
50,Estandarización y Desestandarización,Soporte y Seguridad,Stand By Inoperativo,False,False
51,Instalación de red de agua o drenaje,Soporte y Seguridad,Stand By Inoperativo,False,False
52,Instalación / Desinstalación de maquina,Soporte y Seguridad,Stand By Inoperativo,False,False
53,Traslado de accesorios,Soporte y Seguridad,Stand By Inoperativo,False,False
54,Auditoría Interna,Soporte y Seguridad,Stand By Inoperativo,False,False
55,"Charla, reparto de guardia, llenado de herramientas y reportes",Soporte y Seguridad,Stand By Inoperativo,False,False
56,Espera de repuestos mecánicos,Soporte y Seguridad,Stand By Inoperativo,False,False
57,Espera de materiales e insumos de perforación,Soporte y Seguridad,Stand By Inoperativo,False,False
58,Traslado de personal,Soporte y Seguridad,Stand By Inoperativo,False,False
59,Refrigerio,Soporte y Seguridad,Stand By Inoperativo,False,False
60,Falta de personal,Soporte y Seguridad,Stand By Inoperativo,False,False
61,Paralización por fiestas,Soporte y Seguridad,Stand By Inoperativo,False,False
62,Pare RD/ seguridad,Soporte y Seguridad,Stand By Inoperativo,False,False
63,SBI1,Soporte y Seguridad,Stand By Inoperativo,False,False
64,SBI2,Soporte y Seguridad,Stand By Inoperativo,False,False
65,SBI3,Soporte y Seguridad,Stand By Inoperativo,False,False
66,SBI4,Soporte y Seguridad,Stand By Inoperativo,False,False
67,Voladura,Condiciones Cliente,Stand By Cliente,True,False
68,Falta de agua,Condiciones Cliente,Stand By Cliente,True,False
69,Falta de energía,Condiciones Cliente,Stand By Cliente,True,False
70,Falta de ventilación,Condiciones Cliente,Stand By Cliente,True,False
71,Falta de servicios,Condiciones Cliente,Stand By Cliente,True,False
72,Espera Orden Cliente,Condiciones Cliente,Stand By Cliente,True,False
73,Espera de programa,Condiciones Cliente,Stand By Cliente,True,False
74,Espera de cámara,Condiciones Cliente,Stand By Cliente,True,False
75,Espera de sostenimiento,Condiciones Cliente,Stand By Cliente,True,False
76,Espera de scoop,Condiciones Cliente,Stand By Cliente,True,False
77,Espera de marcado de punto,Condiciones Cliente,Stand By Cliente,True,False
78,Espera de Topografía,Condiciones Cliente,Stand By Cliente,True,False
79,Espera de grúa,Condiciones Cliente,Stand By Cliente,True,False
80,Espera por puebas de permeabilidad y/o ensayos,Condiciones Cliente,Stand By Cliente,True,False
81,Auditoría externa/ Osinergmin,Condiciones Cliente,Stand By Cliente,True,False
82,Capacitación (Externa Cliente),Condiciones Cliente,Stand By Cliente,True,False
83,Falta de habilitación de cámara o plataforma,Condiciones Cliente,Stand By Cliente,True,False
84,Espera de orden cliente,Condiciones Cliente,Stand By Cliente,True,False
85,Condiciones climáticas,Condiciones Cliente,Stand By Cliente,True,False
86,Inundación,Condiciones Cliente,Stand By Cliente,True,False
87,Paralización por estrés térmico o alta temperatura,Condiciones Cliente,Stand By Cliente,True,False
88,Parada por sismo/microsismo,Condiciones Cliente,Stand By Cliente,True,False
89,Conflicto social,Condiciones Cliente,Stand By Cliente,True,False
90,SBC1,Condiciones Cliente,Stand By Cliente,True,False
91,SBC2,Condiciones Cliente,Stand By Cliente,True,False
92,SBC3,Condiciones Cliente,Stand By Cliente,True,False
93,SBC4,Condiciones Cliente,Stand By Cliente,True,False
